Gender,Marital_Status,Dependents,Education,Employment_Status,City/Town,Annual_Income,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Approval_Status
Female,Single,2,High School,Employed,Urban,105101,0,27041,120,1
Male,Married,1,High School,Employed,Urban,115889,0,32378,149,1
Female,Single,1,Graduate,Employed,Suburban,85979,0,20882,134,0
Female,Divorced,2,Graduate,Employed,Suburban,29079,1,5765,39,1
Female,Single,3,High School,Employed,Suburban,141423,0,30966,214,1
Male,Single,0,Graduate,Employed,Urban,65220,1,20000,61,1
Female,Married,0,Postgraduate,Employed,Urban,129660,0,26699,102,1
Female,Married,0,Graduate,Employed,Urban,26898,0,8932,74,0
Male,Married,0,Postgraduate,Unemployed,Rural,115739,0,27592,150,0
Male,Divorced,1,Graduate,Self-Employed,Urban,30744,0,7818,180,0
Female,Single,3,Postgraduate,Employed,Suburban,65085,0,20000,31,1
Female,Single,0,High School,Unemployed,Suburban,131506,0,27458,80,1
Male,Single,3,Graduate,Employed,Suburban,45027,0,7122,197,0
Female,Single,1,Graduate,Employed,Suburban,105272,0,22188,140,1
Male,Married,2,Graduate,Employed,Suburban,61365,0,20000,178,1
Female,Married,0,Postgraduate,Employed,Urban,78007,0,22075,182,1
Male,Single,0,Graduate,Employed,Suburban,38846,0,6677,171,0
Female,Single,2,Postgraduate,Employed,Rural,53381,0,17286,193,0
Male,Married,2,High School,Self-Employed,Urban,106174,1,30574,197,1
Male,Married,1,Graduate,Unemployed,Urban,105426,0,25625,136,1
Male,Married,0,Postgraduate,Self-Employed,Urban,58523,0,20000,154,1
Female,Single,1,High School,Self-Employed,Urban,120350,0,20160,24,1
Male,Single,2,High School,Self-Employed,Suburban,73516,0,20521,216,1
Female,Single,1,Graduate,Employed,Urban,80061,0,21352,133,1
Male,Married,1,High School,Employed,Urban,33790,0,5115,85,1
Male,Married,2,Postgraduate,Employed,Urban,77728,0,21787,208,0
Female,Married,0,Postgraduate,Unemployed,Rural,54108,0,20000,60,1
Female,Single,1,Graduate,Self-Employed,Urban,52688,0,12149,109,0
Female,Single,2,Postgraduate,Employed,Suburban,66112,0,20000,227,0
Male,Single,0,Postgraduate,Unemployed,Urban,85166,0,24540,17,0
Male,Single,0,Graduate,Self-Employed,Urban,32540,0,5205,167,1
Male,Married,2,High School,Employed,Urban,125980,0,24901,187,1
Male,Married,0,High School,Employed,Suburban,110313,0,23311,14,0
Male,Married,3,High School,Self-Employed,Suburban,139679,0,36577,75,1
Male,Married,2,High School,Unemployed,Suburban,103339,0,20263,210,1
Male,Married,0,Postgraduate,Employed,Urban,124867,0,27295,75,1
Male,Divorced,0,Postgraduate,Self-Employed,Urban,79484,0,21138,235,1
Female,Married,3,Postgraduate,Unemployed,Urban,79194,0,22867,81,1
Male,Single,1,Postgraduate,Unemployed,Urban,52895,0,20000,139,1
Female,Married,0,High School,Self-Employed,Urban,25688,0,8988,119,0
Male,Married,2,Graduate,Self-Employed,Urban,109960,0,26366,159,1
Male,Married,3,High School,Unemployed,Urban,100566,0,25372,143,1
Male,Single,0,Graduate,Unemployed,Urban,44842,0,15144,198,0
Male,Married,3,Graduate,Employed,Urban,47644,0,16914,115,0
Male,Married,2,High School,Self-Employed,Rural,110630,0,29643,193,1
Female,Single,0,Graduate,Self-Employed,Suburban,140474,0,40615,199,1
Female,Married,3,Graduate,Self-Employed,Urban,83904,0,22852,217,1
Male,Married,0,Graduate,Employed,Urban,146243,0,38195,135,1
Female,Single,1,High School,Employed,Suburban,56203,0,20000,152,1
Male,Married,2,High School,Self-Employed,Suburban,119351,1,35122,102,1
Male,Married,0,High School,Unemployed,Urban,144713,0,24268,64,1
Male,Single,3,Graduate,Employed,Rural,62657,0,20000,21,1
Female,Married,1,Graduate,Employed,Urban,54921,1,20000,155,1
Female,Single,2,Graduate,Employed,Urban,23054,1,9132,37,0
Male,Single,0,Graduate,Employed,Urban,83525,0,22584,92,0
Female,Married,0,Postgraduate,Employed,Suburban,145387,0,25149,69,1
Female,Divorced,1,Graduate,Unemployed,Urban,67619,0,20846,128,0
Female,Married,3,High School,Self-Employed,Rural,107893,0,28629,224,1
Female,Married,0,High School,Employed,Urban,127243,0,36734,160,1
Female,Single,0,Postgraduate,Employed,Urban,121076,0,26431,130,1
Male,Single,2,High School,Employed,Urban,134864,0,24701,213,1
Male,Married,3,Graduate,Employed,Urban,61575,0,20000,136,1
Female,Married,1,Postgraduate,Employed,Urban,80079,0,23229,113,0
Male,Single,3,Graduate,Self-Employed,Urban,66415,0,5909,112,0
Male,Married,0,Graduate,Self-Employed,Urban,63309,0,18485,150,1
Male,Married,2,Graduate,Self-Employed,Suburban,127890,1,22882,149,1
Male,Single,1,Postgraduate,Self-Employed,Urban,144944,0,27598,122,1
Male,Single,0,Graduate,Self-Employed,Suburban,68944,0,21423,25,1
Female,Married,3,Graduate,Unemployed,Urban,115271,0,32594,150,1
Male,Married,3,Graduate,Employed,Urban,101597,0,24776,167,1
Male,Married,1,High School,Employed,Urban,85996,1,20606,83,1
Female,Married,1,Postgraduate,Unemployed,Suburban,36601,0,10607,33,0
Female,Married,1,Postgraduate,Employed,Suburban,84521,0,22506,42,1
Female,Married,2,High School,Unemployed,Urban,53208,0,20000,98,1
Female,Single,2,High School,Employed,Suburban,58398,1,20000,105,0
Female,Single,3,High School,Employed,Urban,27171,0,6196,183,0
Female,Divorced,3,Graduate,Employed,Urban,40672,0,10351,87,0
Female,Divorced,3,High School,Self-Employed,Urban,39011,0,7398,116,0
Male,Married,1,High School,Self-Employed,Urban,107698,0,20011,217,1
Male,Married,1,Graduate,Unemployed,Urban,136163,0,32921,139,1
Male,Single,0,Postgraduate,Unemployed,Urban,119518,0,29222,137,1
Male,Married,3,Graduate,Unemployed,Rural,28915,0,9201,178,0
Male,Married,1,High School,Self-Employed,Urban,72149,0,20215,36,1
Female,Married,3,Graduate,Self-Employed,Urban,95921,0,28597,92,1
Female,Single,1,Postgraduate,Unemployed,Urban,122254,0,28182,26,1
Male,Single,3,High School,Employed,Suburban,59795,0,7874,35,0
Male,Married,0,High School,Employed,Urban,136879,0,22024,107,1
Male,Married,3,High School,Employed,Suburban,77416,0,21225,55,1
Female,Married,2,Graduate,Employed,Urban,62544,0,18210,216,0
Female,Married,3,Graduate,Employed,Urban,131458,0,27113,196,1
Female,Single,2,High School,Unemployed,Rural,61449,0,6831,238,0
Female,Married,2,Graduate,Unemployed,Urban,73297,1,21191,42,1
Male,Divorced,1,Graduate,Employed,Suburban,119813,0,32973,190,1
Male,Divorced,1,Graduate,Employed,Urban,58376,0,21946,80,0
Male,Divorced,3,Graduate,Unemployed,Suburban,133220,0,39838,76,1
Female,Married,0,Postgraduate,Employed,Rural,60676,1,20000,34,1
Male,Married,1,Postgraduate,Employed,Suburban,43255,0,6480,215,0
Female,Married,2,Postgraduate,Self-Employed,Suburban,69068,1,23740,190,0
Male,Married,3,Graduate,Employed,Suburban,106382,0,22863,41,1
Female,Married,1,Postgraduate,Self-Employed,Urban,97114,0,20185,143,1
Male,Single,2,Graduate,Employed,Urban,65472,0,20000,61,1
Male,Single,0,Graduate,Unemployed,Urban,111339,0,27782,69,1
Female,Divorced,2,Postgraduate,Employed,Urban,127638,0,21629,119,1
Male,Married,1,High School,Employed,Urban,127793,0,34263,191,1
Male,Married,3,Graduate,Employed,Urban,110858,0,20953,185,1
Male,Married,0,High School,Employed,Urban,94654,1,20364,207,1
Male,Single,2,Graduate,Employed,Urban,122848,0,27020,14,1
Female,Married,1,High School,Employed,Urban,58806,0,20000,108,1
Male,Married,1,Graduate,Self-Employed,Urban,87811,1,24584,24,1
Female,Single,0,High School,Employed,Suburban,64754,0,6773,121,0
Male,Married,3,Graduate,Employed,Urban,95372,0,25843,66,0
Female,Single,3,High School,Employed,Suburban,56231,0,20000,190,1
Male,Single,2,High School,Employed,Urban,119439,1,33971,166,1
Male,Married,1,High School,Unemployed,Suburban,149521,0,34056,79,0
Male,Married,2,Postgraduate,Employed,Suburban,56747,0,8705,160,0
Female,Married,2,Graduate,Unemployed,Urban,143603,0,28880,48,1
Male,Single,0,Postgraduate,Self-Employed,Urban,51075,0,20000,158,1
Female,Married,2,Graduate,Employed,Urban,55554,0,20000,204,1
Female,Divorced,2,Postgraduate,Unemployed,Suburban,75061,1,22458,49,0
Male,Single,1,High School,Employed,Urban,116855,0,23220,215,1
Female,Married,1,Postgraduate,Employed,Urban,107216,0,31776,59,0
Male,Married,1,Postgraduate,Unemployed,Urban,105644,1,25684,200,1
Male,Single,3,High School,Self-Employed,Urban,123657,0,35239,148,1
Male,Single,1,High School,Employed,Urban,28547,0,5597,15,0
Female,Single,2,High School,Employed,Suburban,49136,0,17505,120,0
Male,Married,3,Graduate,Employed,Suburban,97938,0,25597,83,1
Female,Divorced,2,High School,Employed,Urban,68988,0,20641,82,1
Male,Married,3,Graduate,Self-Employed,Suburban,133143,0,37001,24,1
Female,Married,0,Graduate,Employed,Suburban,96880,0,20340,176,1
Male,Single,0,High School,Employed,Urban,101190,0,26168,239,1
Male,Single,3,Graduate,Employed,Suburban,118121,0,25171,192,1
Male,Single,3,Postgraduate,Self-Employed,Urban,93512,0,21749,101,1
Female,Single,2,High School,Self-Employed,Urban,24591,0,5620,35,0
Female,Married,3,High School,Employed,Rural,134702,0,29441,33,1
Female,Married,2,High School,Employed,Urban,86413,1,24548,62,1
Male,Single,1,Postgraduate,Employed,Suburban,54539,1,20000,35,1
Female,Married,0,High School,Employed,Suburban,128571,1,25937,117,1
Female,Single,0,Graduate,Employed,Urban,36712,0,8985,55,0
Male,Single,2,High School,Self-Employed,Urban,51522,0,20000,78,1
Female,Married,2,High School,Self-Employed,Suburban,112081,0,29545,86,1
Female,Married,3,Graduate,Employed,Suburban,60855,0,20000,80,1
Female,Married,1,Graduate,Self-Employed,Urban,54839,0,20000,68,1
Female,Married,2,High School,Unemployed,Suburban,114146,0,34071,120,1
Female,Single,0,Graduate,Unemployed,Rural,62313,0,6255,158,1
Female,Married,2,High School,Employed,Rural,114212,0,31741,152,1
Female,Married,2,Graduate,Employed,Urban,120178,0,33510,132,1
Male,Single,1,High School,Self-Employed,Suburban,94634,0,23365,201,1
Male,Single,2,High School,Employed,Urban,91055,0,20442,202,1
Male,Married,0,High School,Self-Employed,Urban,30234,0,10302,149,1
Male,Single,0,High School,Employed,Suburban,147109,0,30926,32,0
Male,Married,2,Postgraduate,Employed,Suburban,36688,0,12910,229,0
Female,Single,1,Graduate,Employed,Urban,137333,0,32983,172,1
Female,Single,1,High School,Unemployed,Urban,86216,0,23824,201,1
Female,Single,0,High School,Employed,Suburban,58073,0,20000,29,1
Male,Single,1,Graduate,Unemployed,Rural,84612,0,21390,113,1
Male,Single,1,Postgraduate,Self-Employed,Urban,57689,0,22633,20,0
Female,Married,3,Graduate,Employed,Urban,75494,1,20442,238,1
Female,Married,1,Postgraduate,Self-Employed,Suburban,124089,0,24745,209,1
Female,Single,1,Postgraduate,Self-Employed,Urban,56549,0,20000,164,1
Male,Single,1,High School,Employed,Urban,116947,0,32376,124,1
Female,Divorced,1,High School,Employed,Suburban,89580,1,25710,172,0
Male,Married,1,Postgraduate,Self-Employed,Suburban,46592,0,10675,218,1
Female,Married,1,Postgraduate,Employed,Urban,103604,0,28013,114,1
Female,Married,1,Graduate,Unemployed,Suburban,26347,1,6252,41,0
Male,Married,3,High School,Unemployed,Suburban,80989,0,20912,33,1
Female,Married,1,High School,Unemployed,Suburban,144078,0,36846,156,1
Male,Single,1,High School,Employed,Urban,139654,0,31863,225,1
Female,Divorced,1,High School,Unemployed,Urban,92786,0,24706,189,1
Female,Married,3,High School,Employed,Urban,128355,0,31266,96,1
Male,Married,3,Graduate,Employed,Suburban,60586,0,23219,201,0
Female,Married,2,High School,Self-Employed,Urban,38061,0,6050,206,0
Female,Married,0,High School,Self-Employed,Suburban,98112,0,26430,171,1
Male,Married,0,High School,Employed,Urban,40787,0,14684,190,0
Male,Married,3,High School,Self-Employed,Rural,43236,0,13204,133,0
Female,Divorced,1,Graduate,Self-Employed,Urban,63504,0,20000,204,1
Female,Married,2,Postgraduate,Unemployed,Suburban,91288,0,21172,85,1
Female,Single,3,Postgraduate,Unemployed,Urban,78901,0,20567,13,0
Female,Single,3,Postgraduate,Employed,Rural,114307,0,22251,37,1
Female,Single,0,High School,Unemployed,Rural,119397,0,35642,229,0
Female,Married,2,Postgraduate,Employed,Suburban,138533,0,24872,20,1
Female,Divorced,3,Postgraduate,Unemployed,Urban,64240,0,20000,42,1
Male,Married,3,Graduate,Employed,Urban,95903,0,26904,174,1
Female,Single,2,High School,Employed,Suburban,61193,0,7801,150,0
Female,Divorced,0,High School,Employed,Suburban,66784,0,21344,122,0
Female,Married,2,High School,Employed,Suburban,110667,1,24503,145,1
Male,Married,2,Postgraduate,Unemployed,Urban,71455,0,20787,83,1
Female,Single,2,Graduate,Unemployed,Suburban,74318,1,21435,122,1
Male,Divorced,3,Postgraduate,Employed,Urban,69695,1,18072,155,1
Male,Single,0,High School,Employed,Suburban,101272,0,30276,167,0
Female,Single,0,High School,Employed,Suburban,69311,0,18233,145,1
Female,Single,3,Postgraduate,Self-Employed,Urban,95136,0,23660,74,1
Male,Married,0,High School,Self-Employed,Urban,68293,0,20338,66,1
Male,Single,0,High School,Self-Employed,Urban,127291,0,29744,109,1
Male,Single,3,High School,Employed,Urban,45211,0,13199,51,0
Female,Divorced,1,Postgraduate,Self-Employed,Urban,25255,0,9729,106,0
Female,Single,0,Graduate,Employed,Suburban,141840,0,41596,235,1
Female,Single,3,High School,Employed,Urban,115237,1,25053,55,1
Female,Married,1,Graduate,Employed,Suburban,134480,0,31775,56,1
Female,Married,2,Graduate,Employed,Urban,34251,0,12915,58,0
Male,Married,3,Postgraduate,Unemployed,Urban,123271,0,20014,203,1
Female,Single,0,Graduate,Employed,Urban,67001,0,20012,184,0
Male,Divorced,2,Graduate,Self-Employed,Rural,138277,0,29120,161,1
Male,Married,2,High School,Self-Employed,Urban,65240,0,20000,23,1
Female,Married,1,High School,Employed,Urban,74934,0,21976,168,0
Male,Single,2,High School,Employed,Urban,143046,0,35832,220,1
Male,Single,1,High School,Employed,Urban,117348,0,31457,99,1
Female,Married,1,High School,Employed,Urban,57411,0,6670,68,0
Female,Married,0,High School,Unemployed,Urban,119364,0,29005,153,0
Male,Married,0,Postgraduate,Employed,Urban,29640,0,9845,149,0
Male,Divorced,3,Postgraduate,Employed,Suburban,38431,0,12456,27,0
Female,Married,0,High School,Employed,Suburban,62318,0,24250,226,0
Female,Married,0,Postgraduate,Employed,Urban,124059,0,34924,181,1
Female,Divorced,2,High School,Self-Employed,Urban,25062,0,6145,99,0
Female,Divorced,1,Graduate,Self-Employed,Urban,54564,1,20000,159,1
Female,Single,0,Graduate,Employed,Urban,24546,0,5325,125,0
Female,Divorced,2,Postgraduate,Unemployed,Urban,111069,1,21557,166,1
Female,Married,3,High School,Employed,Urban,21316,0,6601,226,1
Male,Married,3,Graduate,Self-Employed,Urban,22613,0,7646,197,1
Male,Married,1,High School,Self-Employed,Suburban,67212,0,20029,45,1
Female,Married,1,High School,Self-Employed,Suburban,84180,0,24560,58,1
Female,Single,2,Graduate,Unemployed,Rural,58468,1,20000,207,1
Female,Married,3,Graduate,Employed,Urban,127825,1,35595,68,1
Male,Married,0,Graduate,Employed,Rural,20956,0,6470,218,0
Male,Married,2,High School,Self-Employed,Urban,58220,0,17719,69,0
Female,Single,0,Postgraduate,Employed,Urban,21097,0,6508,228,0
Female,Single,2,Graduate,Employed,Urban,89047,1,26359,120,1
Female,Single,2,High School,Unemployed,Urban,96024,0,22695,116,1
Female,Married,2,High School,Self-Employed,Urban,57717,0,21064,168,1
Male,Single,2,Postgraduate,Employed,Suburban,139897,0,22254,80,1
Female,Single,0,Graduate,Self-Employed,Suburban,98782,1,25512,90,1
Female,Married,3,High School,Self-Employed,Rural,99387,0,25092,238,0
Male,Married,3,High School,Unemployed,Suburban,89560,0,20598,74,1
Male,Single,2,Graduate,Self-Employed,Rural,56070,1,20000,40,1
Male,Single,2,Postgraduate,Self-Employed,Urban,112179,1,31740,187,1
Female,Married,3,High School,Employed,Urban,53461,0,20000,22,1
Female,Married,2,Postgraduate,Employed,Urban,110812,0,25976,202,1
Male,Single,3,Graduate,Self-Employed,Suburban,78142,0,20958,148,1
Male,Married,1,Postgraduate,Self-Employed,Suburban,137354,0,36432,63,1
Male,Divorced,3,Graduate,Unemployed,Suburban,93015,0,25006,115,1
Male,Single,2,Postgraduate,Employed,Suburban,99170,1,25865,213,1
Female,Single,1,Graduate,Employed,Urban,46790,0,9384,205,0
Male,Married,3,Graduate,Unemployed,Suburban,63374,0,9881,160,0
Female,Single,1,Graduate,Self-Employed,Urban,135800,0,40649,73,0
Male,Married,2,High School,Self-Employed,Suburban,50403,0,12940,33,0
Female,Married,1,Postgraduate,Unemployed,Suburban,86672,0,21419,220,0
Male,Single,2,Graduate,Unemployed,Suburban,26519,1,9305,236,0
Female,Single,1,Graduate,Self-Employed,Suburban,112380,0,20272,30,1
Female,Single,3,High School,Unemployed,Urban,140444,0,34779,119,1
Female,Single,0,Graduate,Self-Employed,Urban,93414,0,20684,207,1
Male,Single,3,Graduate,Employed,Urban,34839,0,6816,202,0
Male,Single,3,High School,Employed,Urban,42967,0,16251,230,0
Female,Single,1,Postgraduate,Self-Employed,Suburban,148053,0,40333,100,1
Female,Married,3,Graduate,Unemployed,Urban,66098,0,20000,146,0
Male,Single,0,High School,Employed,Urban,82805,0,23441,116,0
Male,Single,3,Graduate,Employed,Suburban,125837,1,20172,76,1
Female,Married,0,High School,Self-Employed,Urban,137763,0,31401,231,1
Female,Single,1,Graduate,Employed,Suburban,45590,1,17398,129,0
Male,Married,1,High School,Employed,Rural,53902,0,20000,64,1
Female,Married,2,Graduate,Employed,Urban,143500,0,29579,34,1
Male,Single,2,High School,Self-Employed,Suburban,66871,0,20003,217,1
Male,Single,1,High School,Self-Employed,Urban,72244,0,21597,203,0
Female,Single,0,High School,Unemployed,Urban,144369,0,32716,26,1
Female,Married,3,Graduate,Employed,Urban,47705,0,16125,181,0
Female,Single,2,Postgraduate,Employed,Suburban,53079,1,11931,197,0
Female,Single,2,High School,Employed,Suburban,37139,0,12303,208,0
Male,Married,1,Graduate,Employed,Suburban,30608,0,5471,198,0
Male,Married,3,Graduate,Unemployed,Rural,117328,0,20969,227,1
Female,Married,1,High School,Unemployed,Urban,28651,0,9868,151,0
Male,Single,0,High School,Employed,Urban,83083,1,22441,200,1
Male,Divorced,2,High School,Unemployed,Urban,103370,1,26834,201,1
Female,Married,3,High School,Employed,Suburban,68357,0,19599,41,0
Male,Single,0,Graduate,Employed,Suburban,53421,0,10948,128,0
Female,Married,3,Graduate,Employed,Urban,69506,1,20381,105,1
Male,Married,0,Graduate,Employed,Urban,90017,1,24048,197,1
Female,Married,3,High School,Employed,Urban,57789,0,7688,235,0
Female,Married,2,Graduate,Self-Employed,Urban,125399,0,31489,67,1
Male,Married,3,Postgraduate,Unemployed,Urban,36648,0,10123,105,0
Male,Single,0,Graduate,Unemployed,Urban,109969,0,24981,143,1
Female,Single,0,High School,Employed,Urban,38850,0,11414,77,0
Male,Divorced,0,Graduate,Employed,Suburban,36126,0,8306,226,1
Male,Married,1,Graduate,Employed,Urban,78710,0,22352,153,1
Male,Married,0,Graduate,Employed,Urban,93883,0,22780,24,0
Female,Single,0,Graduate,Unemployed,Urban,84634,0,22880,62,1
Female,Married,2,Graduate,Employed,Urban,120014,0,20685,191,0
Male,Married,1,Graduate,Employed,Urban,83562,0,20392,102,1
Male,Divorced,3,High School,Unemployed,Suburban,96120,0,24719,237,1
Male,Married,0,Graduate,Unemployed,Rural,24712,0,8206,124,0
Male,Married,3,Graduate,Employed,Urban,65734,0,20000,116,1
Female,Married,3,High School,Self-Employed,Urban,149196,0,41108,173,0
Male,Married,2,High School,Self-Employed,Urban,66419,1,20000,27,1
Female,Married,2,High School,Employed,Suburban,88576,1,22464,109,1
Female,Married,0,Graduate,Employed,Suburban,108707,0,26664,195,1
Female,Single,0,High School,Unemployed,Rural,51224,0,13129,124,0
Female,Single,3,High School,Employed,Urban,104599,0,21062,59,1
Female,Single,3,Graduate,Unemployed,Suburban,102381,0,26479,198,1
Male,Single,0,Graduate,Employed,Rural,44702,0,9615,170,0
Female,Married,1,High School,Self-Employed,Urban,51348,0,19962,14,0
Female,Single,3,High School,Employed,Urban,81501,0,24021,233,1
Male,Married,1,Graduate,Employed,Urban,60610,0,20000,217,1
Male,Married,3,Postgraduate,Employed,Urban,80721,0,20425,207,1
Female,Married,3,High School,Employed,Urban,84320,0,21092,171,1
Male,Single,1,Postgraduate,Employed,Urban,60907,0,20000,111,1
Male,Married,3,Graduate,Unemployed,Urban,61312,1,17782,220,0
Female,Married,1,Postgraduate,Employed,Urban,59320,0,20000,128,1
Male,Divorced,2,High School,Self-Employed,Urban,135134,0,34546,64,0
Male,Married,0,Graduate,Self-Employed,Urban,59691,1,15371,48,0
Male,Married,2,Graduate,Unemployed,Suburban,51157,0,20000,179,1
Male,Married,3,Postgraduate,Employed,Rural,125610,1,33533,92,1
Female,Married,1,Graduate,Employed,Urban,62569,0,20000,23,1
Male,Single,1,Postgraduate,Employed,Suburban,106850,0,25560,53,1
Male,Married,1,Graduate,Employed,Urban,87292,1,23051,68,1
Male,Single,0,Postgraduate,Self-Employed,Urban,58417,0,20000,165,1
Female,Married,0,High School,Employed,Suburban,136130,0,28259,68,0
Male,Married,0,Graduate,Employed,Rural,49880,0,9760,228,0
Male,Married,3,High School,Self-Employed,Urban,138224,0,22690,116,1
Female,Married,1,Graduate,Employed,Suburban,87691,1,22086,20,1
Male,Married,3,Graduate,Unemployed,Suburban,112104,0,25440,34,0
Female,Married,3,Graduate,Self-Employed,Suburban,75861,1,21931,146,1
Male,Single,3,High School,Unemployed,Urban,48924,0,9720,172,0
Female,Married,3,Graduate,Self-Employed,Urban,140486,1,24597,199,1
Male,Single,1,Graduate,Employed,Urban,97088,0,26034,62,1
Male,Single,2,High School,Employed,Urban,59888,1,6027,168,0
Male,Single,1,Graduate,Employed,Urban,109712,1,31892,96,1
Male,Married,3,Graduate,Employed,Urban,22290,0,8566,84,0
Male,Divorced,3,Postgraduate,Self-Employed,Suburban,109636,0,31209,74,1
Male,Married,2,High School,Employed,Suburban,93269,0,26750,203,1
Male,Single,3,Postgraduate,Self-Employed,Urban,60094,0,20000,227,1
Male,Single,3,Postgraduate,Employed,Suburban,43918,0,11460,87,0
Male,Single,3,Graduate,Unemployed,Suburban,42390,0,11800,65,0
Female,Single,2,Postgraduate,Self-Employed,Urban,95591,0,20672,70,1
Male,Single,3,High School,Employed,Urban,122230,1,28223,39,1
Male,Single,0,High School,Self-Employed,Urban,81533,0,22044,32,1
Male,Married,3,Graduate,Unemployed,Urban,40070,0,7028,33,1
Male,Married,1,Postgraduate,Employed,Urban,97476,0,29031,106,0
Female,Single,2,Graduate,Unemployed,Suburban,116542,0,34144,104,1
Male,Married,3,Graduate,Employed,Urban,110431,0,24953,143,1
Female,Single,0,Graduate,Self-Employed,Urban,129016,0,35418,39,1
Female,Married,3,High School,Unemployed,Urban,130978,0,39124,76,1
Female,Married,2,Graduate,Employed,Suburban,110063,0,24331,218,1
Female,Married,1,High School,Employed,Urban,127220,0,36821,200,1
Male,Married,3,Postgraduate,Employed,Urban,52377,1,8112,47,1
Female,Married,3,High School,Employed,Urban,40627,0,6926,70,0
Female,Divorced,1,High School,Employed,Urban,60102,0,20000,63,0
Male,Single,2,Graduate,Self-Employed,Suburban,115477,0,30156,38,1
Male,Married,3,Graduate,Self-Employed,Suburban,118277,1,25167,199,1
Female,Divorced,1,Graduate,Employed,Urban,41270,0,6821,127,0
Male,Single,3,High School,Employed,Urban,42049,0,11333,26,1
Female,Single,2,High School,Employed,Suburban,141550,0,40747,36,1
Male,Married,3,Postgraduate,Employed,Urban,76760,0,22104,160,1
Female,Single,1,Postgraduate,Employed,Urban,59349,0,9789,46,0
Female,Married,0,High School,Self-Employed,Urban,56177,0,22216,161,0
Female,Married,3,High School,Employed,Suburban,147850,0,21867,17,1
Female,Married,2,High School,Employed,Suburban,84665,0,20845,79,1
Male,Married,1,Graduate,Employed,Urban,149876,0,21153,12,1
Male,Married,1,Postgraduate,Employed,Urban,139224,0,25403,116,0
Female,Married,0,Graduate,Employed,Suburban,56010,0,5380,73,1
Female,Single,2,High School,Unemployed,Urban,124068,0,33231,105,1
Female,Single,2,Graduate,Employed,Rural,61468,0,13749,217,0
Female,Single,2,Postgraduate,Employed,Urban,92413,0,27440,20,1
Male,Single,2,Graduate,Employed,Urban,58052,0,12902,121,0
Female,Divorced,1,Postgraduate,Self-Employed,Rural,93535,0,22019,191,1
Male,Single,2,Postgraduate,Self-Employed,Suburban,64301,0,20000,226,1
Female,Single,2,High School,Unemployed,Urban,75734,0,21852,211,1
Male,Married,0,High School,Self-Employed,Suburban,93907,0,22604,176,1
Female,Married,3,Postgraduate,Unemployed,Urban,34153,0,10443,20,1
Female,Married,0,High School,Employed,Rural,79243,0,20647,204,1
Male,Divorced,2,Postgraduate,Employed,Rural,68372,0,20063,37,1
Male,Married,0,High School,Self-Employed,Urban,74563,0,20075,137,1
Male,Married,1,Graduate,Employed,Suburban,58360,0,10744,186,0
Female,Married,2,High School,Employed,Urban,51595,0,20000,209,1
Male,Married,0,Graduate,Self-Employed,Suburban,139206,0,36775,136,1
Male,Single,2,Graduate,Self-Employed,Urban,50331,0,20000,193,1
Female,Married,0,High School,Self-Employed,Suburban,109457,0,22098,123,0
Female,Married,2,High School,Employed,Rural,53180,1,20000,62,1
Male,Single,1,High School,Self-Employed,Rural,92312,0,21908,118,1
Female,Married,3,High School,Unemployed,Urban,110570,0,31929,33,1
Male,Married,3,High School,Unemployed,Urban,53549,0,8332,32,0
Male,Single,1,Postgraduate,Unemployed,Urban,66611,0,15782,56,0
Male,Married,3,High School,Self-Employed,Urban,40735,0,12109,92,0
Male,Single,0,High School,Employed,Urban,56465,0,20000,178,1
Female,Married,1,Postgraduate,Unemployed,Urban,107399,0,31155,128,1
Female,Married,1,High School,Employed,Urban,53368,0,20000,59,1
Female,Married,0,Graduate,Unemployed,Suburban,31568,0,7128,230,0
Male,Single,2,High School,Self-Employed,Rural,119306,0,22925,49,1
Male,Married,3,High School,Unemployed,Suburban,62401,0,8900,237,1
Female,Married,3,High School,Self-Employed,Urban,145754,0,40396,91,1
Male,Married,0,High School,Unemployed,Urban,49262,0,10465,145,0
Female,Married,3,High School,Employed,Suburban,44633,0,12508,97,1
Female,Single,2,High School,Employed,Urban,116859,0,23972,133,1
Female,Single,2,High School,Unemployed,Urban,47721,0,7077,69,1
Male,Divorced,2,Graduate,Self-Employed,Urban,56678,0,20000,86,1
Female,Married,1,Graduate,Self-Employed,Urban,109041,0,26144,205,1
Male,Married,1,High School,Unemployed,Urban,91505,0,21006,51,1
Male,Single,2,Graduate,Employed,Urban,36647,0,14489,54,1
Male,Married,3,Postgraduate,Employed,Urban,115099,0,22032,207,0
Female,Married,3,Postgraduate,Employed,Urban,44049,1,10431,230,1
Male,Single,2,Graduate,Employed,Rural,42850,0,16660,218,0
Female,Single,2,Graduate,Employed,Suburban,34997,0,11583,196,0
Female,Married,3,High School,Unemployed,Suburban,99032,0,26174,179,1
Female,Married,0,Graduate,Self-Employed,Urban,143614,0,25139,114,1
Female,Married,3,High School,Self-Employed,Urban,123874,0,28972,59,1
Male,Divorced,2,Graduate,Unemployed,Urban,111539,1,24854,39,1
Female,Married,3,High School,Employed,Urban,45526,1,5558,12,0
Male,Single,3,Postgraduate,Employed,Urban,61602,0,20000,77,0
Female,Married,2,High School,Employed,Suburban,44983,0,8040,27,0
